path,category,generator,docs_refs,status,notes,disposition
outputs (root files),reports/figures,"scripts/train.py, src_v2 classify/evaluate","README.md, Documentos/docs/RESULTADOS_EXPERIMENTALES_v2.md",mixed,"Includes evaluation_report_*.txt, thesis_figure_*.png, classify_warp_*.json, etc. See rows below for invalid ones.",keep
outputs/classify_warp_covid.json,classification-output,python -m src_v2 classify (warp pipeline),Documentos/docs/sesiones/SESION_15_CLASIFICADOR_FULL_DATASET.md,useful,Pipeline predictions for COVID class.,keep
outputs/classify_warp_normal.json,classification-output,python -m src_v2 classify (warp pipeline),Documentos/docs/sesiones/SESION_15_CLASIFICADOR_FULL_DATASET.md,useful,Pipeline predictions for Normal class.,keep
outputs/classify_warp_viral.json,classification-output,python -m src_v2 classify (warp pipeline),Documentos/docs/sesiones/SESION_15_CLASIFICADOR_FULL_DATASET.md,useful,Pipeline predictions for Viral Pneumonia class.,keep
outputs/classify_efficientnet_e2e.json,classification-output,scripts (session 17) / python -m src_v2 classify,Documentos/docs/sesiones/SESION_17_PIPELINE_E2E.md,useful,End-to-end predictions for EfficientNet classifier.,keep
outputs/robustness_original_cropped_47.json,robustness-report,python -m src_v2 test-robustness,Documentos/docs/RESULTADOS_EXPERIMENTALES_v2.md,useful,Control experiment (cropped 47%).,keep
outputs/robustness_warped_full_coverage.json,robustness-report,python -m src_v2 test-robustness,,invalid,Depends on invalid dataset outputs/full_coverage_warped_dataset. Removed on 2025-12-23 after confirming dependency on invalid datasets.,removed
outputs/fill_rate_tradeoff_analysis.png,figure,scripts/generate_thesis_figure.py,Documentos/docs/sesiones/SESION_53_FILL_RATE_TRADEOFF.md,useful,Tradeoff figure for thesis.,keep
outputs/thesis_figure_tradeoff.png,figure,scripts/generate_thesis_figure.py,Documentos/docs/sesiones/SESION_54_PREPARACION_DEFENSA.md,useful,Thesis figure.,keep
outputs/thesis_figure_summary_table.png,figure,scripts/generate_thesis_figure.py,Documentos/docs/sesiones/SESION_54_PREPARACION_DEFENSA.md,useful,Thesis figure.,keep
outputs/thesis_figure_combined.png,figure,scripts/generate_thesis_figure.py,Documentos/docs/sesiones/SESION_54_PREPARACION_DEFENSA.md,useful,Thesis figure.,keep
outputs/flip_comparison.png,figure,scripts/visualization/*,,legacy,Ad-hoc visualization; not referenced in current docs.,keep
outputs/sample_visualization.png,figure,scripts/visualize_predictions.py,,legacy,Ad-hoc visualization.,keep
outputs/training_config.json,training-meta,scripts/train.py,,legacy,Latest training config snapshot.,keep
outputs/training_history.json,training-meta,scripts/train.py,,legacy,Latest training history snapshot.,keep
outputs/session28_summary.md,report,manual or scripts,,legacy,Session summary.,keep
outputs/session29_summary.md,report,manual or scripts,,legacy,Session summary.,keep
outputs/eval_subset.json,report,unknown,,unknown,Needs provenance; not referenced. Keeping until provenance is confirmed.,keep
outputs/evaluation_report_*.txt,report,scripts/train.py,,legacy,Historical landmark evaluation reports (session experiments).,keep
outputs/shape_analysis,landmark-shape,python -m src_v2 compute-canonical,README.md,useful,Canonical shape + Delaunay used by warping.,keep
outputs/shape_analysis_test,landmark-shape,manual test / scripts,,legacy,Test-only outputs.,keep
outputs/predictions,landmark-preds,scripts/extract_predictions.py,Documentos/documentacion/12_generacion_dataset_warpeado.tex,useful,Predictions and artifacts for GPA/warp methodology.,keep
outputs/warped_dataset,warped-dataset,scripts/generate_warped_dataset.py or src_v2 generate-dataset,README.md,legacy,Older warped dataset (47% fill).,keep
outputs/full_warped_dataset,warped-dataset,scripts/generate_full_warped_dataset.py,Documentos/docs/REFERENCIA_EXPERIMENTOS_ORIGINALES.md,legacy,Ground-truth based warped dataset (older baseline).,keep
outputs/full_coverage_warped_dataset,warped-dataset,scripts/generate_warped_dataset_full_coverage.py,Documentos/docs/RESULTADOS_EXPERIMENTALES_v2.md,invalid,Incorrect warping; removed on 2025-12-21 (see Documentos/docs/reportes/RESUMEN_DEPURACION_OUTPUTS.md).,removed
outputs/warped_replication_v2,warped-dataset,python -m src_v2 generate-dataset (historical run),Documentos/docs/RESULTADOS_EXPERIMENTALES_v2.md,invalid,Incorrect warping; removed on 2025-12-21 (see Documentos/docs/reportes/RESUMEN_DEPURACION_OUTPUTS.md).,removed
outputs/warped_replication,warped-dataset,unknown,,legacy,"Full 3-class warped dataset (15k images) with fill_rate ~47%, model_checkpoint checkpoints/final_model.pt; likely generated by src_v2 generate-dataset but script not documented.",keep
outputs/warped_subset,warped-dataset,manual sample,,legacy,Manual COVID-only subset (102 PNGs); filenames lack _warped suffix; likely visualization sample (not referenced in docs).,keep
outputs/original_3_classes,original-dataset,scripts/filter_dataset_3_classes.py,Documentos/docs/RESULTADOS_EXPERIMENTALES_v2.md,useful,3-class filtered dataset for valid cross-eval.,keep
outputs/original_cropped_47,original-dataset,scripts/generate_original_cropped_47.py,Documentos/docs/RESULTADOS_EXPERIMENTALES_v2.md,useful,Control dataset (47% fill).,keep
outputs/original_test,original-dataset,unknown,,legacy,Empty directory; safe to remove if unused. Removed on 2025-12-23 (empty directory).,removed
outputs/original_test_split,original-dataset,unknown,,legacy,Legacy test split. Removed on 2025-12-23 (no longer useful; original test split not referenced for current pipeline).,removed
outputs/binary_experiment,original-dataset,unknown,,legacy,Binary dataset skeleton; provenance unclear. Removed on 2025-12-23 (invalid / obsolete binary dataset).,removed
outputs/classifier,model,scripts/train_classifier.py or python -m src_v2 train-classifier,README.md,legacy,Older baseline classifier outputs.,keep
outputs/classifier_original,model,scripts/train_classifier_original.py,,legacy,Older baseline original classifier.,keep
outputs/classifier_full,model,scripts/train_classifier.py,Documentos/docs/REFERENCIA_EXPERIMENTOS_ORIGINALES.md,legacy,Legacy full warped classifier.,keep
outputs/classifier_efficientnet,model,scripts/train_classifier.py,Documentos/docs/REFERENCIA_EXPERIMENTOS_ORIGINALES.md,legacy,Legacy efficientnet classifier.,keep
outputs/classifier_comparison,model-comparison,scripts/train_all_architectures.py,Documentos/docs/REFERENCIA_EXPERIMENTOS_ORIGINALES.md,legacy,Multi-architecture comparison (regenerable).,keep
outputs/classifier_original_3classes,model,scripts/train_classifier.py,Documentos/docs/RESULTADOS_EXPERIMENTALES_v2.md,useful,Original 3-class model for valid cross-eval.,keep
outputs/classifier_original_cropped_47,model,scripts/train_classifier.py,,useful,Classifier for cropped control dataset.,keep
outputs/classifier_binary_neumonia_vs_normal,model,unknown,Documentos/Tesis/PROMPT_CONTINUACION_SESION_02.md,legacy,Binary classifier; provenance unclear.,keep
outputs/classifier_replication,model,unknown,,legacy,Older replication classifier.,keep
outputs/classifier_replication_v2,model,python -m src_v2 train-classifier,Documentos/docs/RESULTADOS_EXPERIMENTALES_v2.md,invalid,Depends on invalid dataset outputs/warped_replication_v2. Removed on 2025-12-23 after confirming dependency on invalid datasets.,removed
outputs/classifier_warped_full_coverage,model,python -m src_v2 train-classifier,Documentos/docs/RESULTADOS_EXPERIMENTALES_v2.md,invalid,Depends on invalid dataset outputs/full_coverage_warped_dataset. Removed on 2025-12-23 after confirming dependency on invalid datasets.,removed
outputs/external_validation,external-eval,python -m src_v2 evaluate-external or scripts/evaluate_external_*.py,README.md,useful,External validation (FedCOVIDx).,keep
outputs/cross_evaluation_valid_3classes,cross-eval,python -m src_v2 cross-evaluate,Documentos/docs/RESULTADOS_EXPERIMENTALES_v2.md,useful,Cross-eval with matched 3-class datasets.,keep
outputs/cross_evaluation_fair,cross-eval,python -m src_v2 cross-evaluate,,invalid,Config references outputs/full_coverage_warped_dataset and classifier_warped_full_coverage. Removed on 2025-12-23 after confirming dependency on invalid datasets.,removed
outputs/session9,landmark-training,scripts/train.py,Documentos/docs/reportes/RESUMEN_VERIFICACION_06.md,legacy,Session 9 experiments (evidence).,keep
outputs/session10,landmark-training,scripts/train.py,Documentos/docs/reportes/RESUMEN_VERIFICACION_06.md,legacy,Session 10 experiments (evidence).,keep
outputs/exp_clahe_tile4,landmark-training,scripts/train.py,Documentos/docs/reportes/RESUMEN_VERIFICACION_06.md,legacy,Session 8 baseline.,keep
outputs/exp_clahe_tile16,landmark-training,scripts/train.py,,legacy,CLAHE tile experiment.,keep
outputs/exp_clahe_clip1.5,landmark-training,scripts/train.py,,legacy,CLAHE clip experiment.,keep
outputs/exp_clahe_clip3.0,landmark-training,scripts/train.py,,legacy,CLAHE clip experiment.,keep
outputs/exp_more_epochs,landmark-training,scripts/train.py,,legacy,Longer training run.,keep
outputs/session19_validation,analysis,scripts/archive/session30_* or manual,,legacy,Session 19 validation outputs.,keep
outputs/session26_validation,analysis,scripts/archive/validation_session26*.py,,legacy,Session 26 validation outputs.,keep
outputs/session27_models,models,scripts/train_resnet18_expanded.py,,legacy,Session 27 models used in historical robustness tests.,keep
outputs/session28_baseline_original,models,scripts/train_baseline_original_15k.py,,legacy,Baseline original model for cross-eval.,keep
outputs/session28_black_background,analysis,scripts/archive/experiment_black_background.py,,legacy,One-off experiment.,keep
outputs/session28_margin_experiment,analysis,scripts/archive/experiment_extended_margins.py,Documentos/docs/RESULTADOS_EXPERIMENTALES_v2.md,useful,Margin 1.25 evidence.,keep
outputs/session29_robustness,analysis,scripts/archive/test_robustness_*.py,Documentos/docs/RESULTADOS_EXPERIMENTALES_v2.md,useful,Robustness evidence (JPEG/blur).,keep
outputs/session30_analysis,analysis,scripts/archive/session30_cross_evaluation.py,Documentos/docs/RESULTADOS_EXPERIMENTALES_v2.md,useful,Generalization evidence.,keep
outputs/session31_multi_arch,analysis,scripts/archive/session31_*,,legacy,Multi-architecture historical outputs.,keep
outputs/session32_analysis,analysis,manual report,,legacy,Narrative analysis markdown; not generated by code.,keep
outputs/expanded_experiment,analysis,scripts/train_expanded_dataset.py,,legacy,Expanded dataset experiment.,keep
outputs/margin_experiment,analysis,scripts/margin_optimization_experiment.py,,legacy,Margin sweep (historical).,keep
outputs/pfs_warped_valid,analysis,scripts/calculate_pfs_warped.py,,legacy,Older PFS run.,keep
outputs/pfs_warped_valid_full,analysis,scripts/calculate_pfs_warped.py,Documentos/docs/RESULTADOS_EXPERIMENTALES_v2.md,useful,Updated PFS results.,keep
outputs/gradcam,explainability,scripts/gradcam_comparison.py or python -m src_v2 gradcam,,useful,Grad-CAM outputs.,keep
outputs/gradcam_multi,explainability,scripts/gradcam_multi_architecture.py,,useful,Multi-arch Grad-CAM summary.,keep
outputs/pipeline_viz,figures,scripts/visualization/generate_pipeline_visualizations.py and generate_*.py,Documentos/documentacion/thesis/README.md,useful,Pipeline/diagram/animation assets for thesis.,keep
outputs/diagrams,figures,scripts/visualization/generate_detailed_diagrams.py,Documentos/documentacion/thesis/README.md,useful,Architecture diagrams for thesis.,keep
outputs/thesis_figures,figures,scripts/create_thesis_figures.py and scripts/visualization/*,Documentos/documentacion/thesis/README.md,useful,Thesis figure bundle.,keep
outputs/visualizations,figures,scripts/visualize_predictions.py,,useful,Prediction sample grids.,keep
outputs/visual_analysis,figures,scripts/analyze_hospital_marks.py,,useful,Hospital mark analysis figures.,keep
