0,1,2
1,1,18
2,1,20
3,1,29
4,1,33
5,1,35
6,1,36
7,1,54
8,1,56
9,1,57
10,1,73
11,1,76
12,1,80
13,1,94
14,1,100
15,1,103
16,1,106
17,1,140
18,1,146
19,1,148
20,1,152
21,1,157
22,1,162
23,1,184
24,1,192
25,1,194
26,1,200
27,1,207
28,1,209
29,1,211
30,1,231
31,1,257
32,1,269
33,1,292
34,1,308
35,1,316
36,1,320
37,1,334
38,1,336
39,1,347
40,1,352
41,1,369
42,1,403
43,1,421
44,1,428
45,1,429
46,1,437
47,1,443
48,1,449
49,1,468
50,1,472
51,1,477
52,1,491
53,1,498
54,1,500
55,1,526
56,1,528
57,1,564
58,1,567
59,1,575
60,1,584
61,1,588
62,1,594
63,1,605
64,1,624
65,1,642
66,1,670
67,1,706
68,1,709
69,1,720
70,1,721
71,1,723
72,1,726
73,1,727
74,1,736
75,1,738
76,1,782
77,1,783
78,1,799
79,1,809
80,1,824
81,1,841
82,1,847
83,1,855
84,1,881
85,1,892
86,1,902
87,1,914
88,1,929
89,1,947
90,1,949
91,1,953
92,1,969
93,1,972
94,1,979
95,1,989
96,1,998
97,1,1028
98,1,1031
99,1,1032
100,1,1051
101,1,1054
102,1,1066
103,1,1088
104,1,1103
105,1,1104
106,1,1137
107,1,1139
108,1,1143
109,1,1159
110,1,1169
111,1,1177
112,1,1180
113,1,1182
114,1,1195
115,1,1205
116,1,1221
117,1,1233
118,1,1234
119,1,1238
120,1,1248
121,1,1258
122,1,1268
123,1,1283
124,1,1313
125,1,1328
126,1,1371
127,1,1387
128,1,1397
129,1,1405
130,1,1422
131,1,1443
132,1,1453
133,1,1454
134,1,1458
135,1,1476
136,1,1484
137,1,1497
138,1,1498
139,1,1502
140,1,1505
141,1,1515
142,1,1522
143,1,1533
144,1,1540
145,1,1550
146,1,1551
147,1,1558
148,1,1559
149,1,1560
150,1,1564
151,1,1589
152,1,1591
153,1,1631
154,1,1645
155,1,1650
156,1,1653
157,1,1656
158,1,1664
159,1,1671
160,1,1678
161,1,1697
162,1,1724
163,1,1725
164,1,1727
165,1,1733
166,1,1751
167,1,1753
168,1,1755
169,1,1759
170,1,1785
171,1,1803
172,1,1814
173,1,1818
174,1,1823
175,1,1843
176,1,1879
177,1,1886
178,1,1906
179,1,1907
180,1,1935
181,1,1943
182,1,1953
183,1,1968
184,1,1970
185,1,1986
186,1,2006
187,1,2023
188,1,2025
189,1,2043
190,1,2046
191,1,2048
192,1,2068
193,1,2072
194,1,2077
195,1,2078
196,1,2090
197,1,2112
198,1,2133
199,1,2153
200,1,2159
201,1,2165
202,1,2169
203,1,2174
204,1,2203
205,1,2207
206,1,2217
207,1,2233
208,1,2238
209,1,2242
210,1,2243
211,1,2251
212,1,2255
213,1,2259
214,1,2281
215,1,2287
216,1,2292
217,1,2358
218,1,2364
219,1,2382
220,1,2399
221,1,2400
222,1,2402
223,1,2426
224,1,2457
225,1,2459
226,1,2461
227,1,2474
228,1,2493
229,1,2494
230,1,2496
231,1,2504
232,1,2512
233,1,2518
234,1,2527
235,1,2536
236,1,2542
237,1,2568
238,1,2570
239,1,2574
240,1,2576
241,1,2594
242,1,2606
243,1,2616
244,1,2626
245,1,2628
246,1,2638
247,1,2657
248,1,2686
249,1,2705
250,1,2725
251,1,2764
252,1,2782
253,1,2787
254,1,2788
255,1,2793
256,1,2814
257,1,2829
258,1,2833
259,1,2834
260,1,2848
261,1,2855
262,1,2887
263,1,2888
264,1,2913
265,1,2914
266,1,2933
267,1,2948
268,1,2977
269,1,3003
270,1,3031
271,1,3039
272,1,3047
273,1,3065
274,1,3077
275,1,3087
276,1,3090
277,1,3095
278,1,3096
279,1,3099
280,1,3124
281,1,3130
282,1,3136
283,1,3139
284,1,3154
285,1,3160
286,1,3166
287,1,3182
288,1,3200
289,1,3201
290,1,3206
291,1,3207
292,1,3214
293,1,3218
294,1,3233
295,1,3236
296,1,3263
297,1,3268
298,1,3296
299,1,3305
300,1,3316
301,1,3321
302,1,3329
303,1,3333
304,1,3356
305,1,3362
306,1,3363
307,1,3380
308,1,3386
309,1,3387
310,1,3396
311,1,3398
312,1,3399
313,1,3413
314,1,3443
315,1,3451
316,1,3492
317,1,3493
318,1,3512
319,1,3519
320,1,3545
321,1,3576
322,1,3593
323,1,3602
324,1,3606
325,2,6
326,2,9
327,2,30
328,2,52
329,2,66
330,2,67
331,2,74
332,2,102
333,2,105
334,2,128
335,2,170
336,2,173
337,2,181
338,2,185
339,2,223
340,2,238
341,2,270
342,2,317
343,2,335
344,2,346
345,2,359
346,2,361
347,2,369
348,2,395
349,2,409
350,2,415
351,2,418
352,2,424
353,2,429
354,2,445
355,2,456
356,2,467
357,2,472
358,2,477
359,2,479
360,2,509
361,2,540
362,2,545
363,2,551
364,2,557
365,2,599
366,2,611
367,2,625
368,2,634
369,2,647
370,2,706
371,2,732
372,2,764
373,2,778
374,2,789
375,2,805
376,2,829
377,2,836
378,2,846
379,2,867
380,2,882
381,2,895
382,2,922
383,2,937
384,2,939
385,2,964
386,2,976
387,2,1016
388,2,1018
389,2,1023
390,2,1032
391,2,1035
392,2,1061
393,2,1080
394,2,1088
395,2,1103
