image_name,category,warped_filename
Normal-9639,Normal,Normal-9639_warped.png
COVID-2140,COVID,COVID-2140_warped.png
Normal-5671,Normal,Normal-5671_warped.png
Normal-7427,Normal,Normal-7427_warped.png
Normal-192,Normal,Normal-192_warped.png
Normal-3060,Normal,Normal-3060_warped.png
Normal-2023,Normal,Normal-2023_warped.png
Normal-3719,Normal,Normal-3719_warped.png
Normal-3626,Normal,Normal-3626_warped.png
COVID-2300,COVID,COVID-2300_warped.png
Normal-509,Normal,Normal-509_warped.png
Normal-6311,Normal,Normal-6311_warped.png
Normal-7602,Normal,Normal-7602_warped.png
Normal-3746,Normal,Normal-3746_warped.png
Normal-8581,Normal,Normal-8581_warped.png
Normal-7269,Normal,Normal-7269_warped.png
COVID-1810,COVID,COVID-1810_warped.png
Normal-4222,Normal,Normal-4222_warped.png
COVID-3217,COVID,COVID-3217_warped.png
Normal-3034,Normal,Normal-3034_warped.png
Viral Pneumonia-735,Viral_Pneumonia,Viral Pneumonia-735_warped.png
COVID-3552,COVID,COVID-3552_warped.png
Normal-6408,Normal,Normal-6408_warped.png
Normal-591,Normal,Normal-591_warped.png
Normal-6375,Normal,Normal-6375_warped.png
Normal-7598,Normal,Normal-7598_warped.png
Normal-70,Normal,Normal-70_warped.png
Normal-2124,Normal,Normal-2124_warped.png
Normal-2902,Normal,Normal-2902_warped.png
Normal-7347,Normal,Normal-7347_warped.png
Normal-10066,Normal,Normal-10066_warped.png
Normal-8309,Normal,Normal-8309_warped.png
Normal-4485,Normal,Normal-4485_warped.png
Viral Pneumonia-462,Viral_Pneumonia,Viral Pneumonia-462_warped.png
Normal-4604,Normal,Normal-4604_warped.png
Normal-3614,Normal,Normal-3614_warped.png
Normal-6192,Normal,Normal-6192_warped.png
Normal-10067,Normal,Normal-10067_warped.png
Normal-3394,Normal,Normal-3394_warped.png
Normal-7525,Normal,Normal-7525_warped.png
Viral Pneumonia-592,Viral_Pneumonia,Viral Pneumonia-592_warped.png
Viral Pneumonia-1284,Viral_Pneumonia,Viral Pneumonia-1284_warped.png
COVID-459,COVID,COVID-459_warped.png
COVID-1349,COVID,COVID-1349_warped.png
Normal-2451,Normal,Normal-2451_warped.png
Normal-1691,Normal,Normal-1691_warped.png
Normal-4870,Normal,Normal-4870_warped.png
Normal-6843,Normal,Normal-6843_warped.png
Normal-9283,Normal,Normal-9283_warped.png
Normal-3481,Normal,Normal-3481_warped.png
Normal-2876,Normal,Normal-2876_warped.png
Normal-3372,Normal,Normal-3372_warped.png
Normal-2641,Normal,Normal-2641_warped.png
COVID-2357,COVID,COVID-2357_warped.png
COVID-2565,COVID,COVID-2565_warped.png
Normal-5532,Normal,Normal-5532_warped.png
Normal-3673,Normal,Normal-3673_warped.png
Normal-6603,Normal,Normal-6603_warped.png
Normal-4864,Normal,Normal-4864_warped.png
COVID-2465,COVID,COVID-2465_warped.png
Normal-2074,Normal,Normal-2074_warped.png
Normal-9878,Normal,Normal-9878_warped.png
Normal-8797,Normal,Normal-8797_warped.png
Normal-2645,Normal,Normal-2645_warped.png
Normal-9850,Normal,Normal-9850_warped.png
Normal-8029,Normal,Normal-8029_warped.png
Normal-5564,Normal,Normal-5564_warped.png
Normal-5442,Normal,Normal-5442_warped.png
COVID-1151,COVID,COVID-1151_warped.png
COVID-1827,COVID,COVID-1827_warped.png
Viral Pneumonia-1127,Viral_Pneumonia,Viral Pneumonia-1127_warped.png
Normal-6278,Normal,Normal-6278_warped.png
Viral Pneumonia-876,Viral_Pneumonia,Viral Pneumonia-876_warped.png
COVID-1409,COVID,COVID-1409_warped.png
Normal-1570,Normal,Normal-1570_warped.png
Normal-9523,Normal,Normal-9523_warped.png
Normal-2732,Normal,Normal-2732_warped.png
COVID-1605,COVID,COVID-1605_warped.png
Normal-9798,Normal,Normal-9798_warped.png
COVID-3024,COVID,COVID-3024_warped.png
COVID-915,COVID,COVID-915_warped.png
Normal-8290,Normal,Normal-8290_warped.png
COVID-1243,COVID,COVID-1243_warped.png
Normal-9944,Normal,Normal-9944_warped.png
COVID-2922,COVID,COVID-2922_warped.png
Normal-9819,Normal,Normal-9819_warped.png
Normal-547,Normal,Normal-547_warped.png
Viral Pneumonia-109,Viral_Pneumonia,Viral Pneumonia-109_warped.png
Normal-8795,Normal,Normal-8795_warped.png
COVID-2385,COVID,COVID-2385_warped.png
Viral Pneumonia-347,Viral_Pneumonia,Viral Pneumonia-347_warped.png
COVID-3253,COVID,COVID-3253_warped.png
Normal-3301,Normal,Normal-3301_warped.png
Normal-2397,Normal,Normal-2397_warped.png
Normal-7345,Normal,Normal-7345_warped.png
Normal-3167,Normal,Normal-3167_warped.png
Normal-260,Normal,Normal-260_warped.png
COVID-2702,COVID,COVID-2702_warped.png
Normal-9301,Normal,Normal-9301_warped.png
Viral Pneumonia-1261,Viral_Pneumonia,Viral Pneumonia-1261_warped.png
Normal-4083,Normal,Normal-4083_warped.png
Normal-7240,Normal,Normal-7240_warped.png
COVID-1167,COVID,COVID-1167_warped.png
COVID-2840,COVID,COVID-2840_warped.png
COVID-1137,COVID,COVID-1137_warped.png
COVID-3205,COVID,COVID-3205_warped.png
Viral Pneumonia-804,Viral_Pneumonia,Viral Pneumonia-804_warped.png
Normal-3563,Normal,Normal-3563_warped.png
Normal-4248,Normal,Normal-4248_warped.png
Normal-190,Normal,Normal-190_warped.png
Viral Pneumonia-1034,Viral_Pneumonia,Viral Pneumonia-1034_warped.png
Normal-9634,Normal,Normal-9634_warped.png
Normal-6028,Normal,Normal-6028_warped.png
Viral Pneumonia-340,Viral_Pneumonia,Viral Pneumonia-340_warped.png
Normal-9793,Normal,Normal-9793_warped.png
Viral Pneumonia-1227,Viral_Pneumonia,Viral Pneumonia-1227_warped.png
COVID-1469,COVID,COVID-1469_warped.png
Normal-6419,Normal,Normal-6419_warped.png
Normal-9693,Normal,Normal-9693_warped.png
Normal-4391,Normal,Normal-4391_warped.png
Normal-9823,Normal,Normal-9823_warped.png
Normal-6476,Normal,Normal-6476_warped.png
Normal-6530,Normal,Normal-6530_warped.png
Normal-6976,Normal,Normal-6976_warped.png
Normal-290,Normal,Normal-290_warped.png
Normal-2874,Normal,Normal-2874_warped.png
Normal-649,Normal,Normal-649_warped.png
Normal-3052,Normal,Normal-3052_warped.png
Normal-6275,Normal,Normal-6275_warped.png
Normal-8102,Normal,Normal-8102_warped.png
Normal-4755,Normal,Normal-4755_warped.png
Normal-9684,Normal,Normal-9684_warped.png
COVID-2850,COVID,COVID-2850_warped.png
Normal-5075,Normal,Normal-5075_warped.png
Normal-8278,Normal,Normal-8278_warped.png
Normal-1265,Normal,Normal-1265_warped.png
Normal-5805,Normal,Normal-5805_warped.png
Normal-4727,Normal,Normal-4727_warped.png
COVID-1342,COVID,COVID-1342_warped.png
COVID-2872,COVID,COVID-2872_warped.png
COVID-2340,COVID,COVID-2340_warped.png
COVID-3157,COVID,COVID-3157_warped.png
Normal-4279,Normal,Normal-4279_warped.png
Viral Pneumonia-525,Viral_Pneumonia,Viral Pneumonia-525_warped.png
Normal-2814,Normal,Normal-2814_warped.png
Normal-2208,Normal,Normal-2208_warped.png
Normal-697,Normal,Normal-697_warped.png
Normal-9866,Normal,Normal-9866_warped.png
COVID-2297,COVID,COVID-2297_warped.png
Normal-7356,Normal,Normal-7356_warped.png
Normal-9028,Normal,Normal-9028_warped.png
Normal-8882,Normal,Normal-8882_warped.png
Normal-7684,Normal,Normal-7684_warped.png
Normal-7002,Normal,Normal-7002_warped.png
Normal-2899,Normal,Normal-2899_warped.png
Normal-4850,Normal,Normal-4850_warped.png
COVID-1665,COVID,COVID-1665_warped.png
Normal-9948,Normal,Normal-9948_warped.png
Normal-594,Normal,Normal-594_warped.png
COVID-2407,COVID,COVID-2407_warped.png
COVID-1203,COVID,COVID-1203_warped.png
COVID-1031,COVID,COVID-1031_warped.png
Normal-4804,Normal,Normal-4804_warped.png
Normal-5874,Normal,Normal-5874_warped.png
Normal-2997,Normal,Normal-2997_warped.png
Normal-10018,Normal,Normal-10018_warped.png
Normal-81,Normal,Normal-81_warped.png
Normal-1908,Normal,Normal-1908_warped.png
Normal-7938,Normal,Normal-7938_warped.png
COVID-682,COVID,COVID-682_warped.png
Normal-5502,Normal,Normal-5502_warped.png
COVID-1893,COVID,COVID-1893_warped.png
COVID-1954,COVID,COVID-1954_warped.png
Normal-711,Normal,Normal-711_warped.png
COVID-1180,COVID,COVID-1180_warped.png
Normal-127,Normal,Normal-127_warped.png
Normal-4510,Normal,Normal-4510_warped.png
COVID-3132,COVID,COVID-3132_warped.png
Normal-149,Normal,Normal-149_warped.png
Normal-4880,Normal,Normal-4880_warped.png
Normal-9830,Normal,Normal-9830_warped.png
COVID-2804,COVID,COVID-2804_warped.png
Normal-5674,Normal,Normal-5674_warped.png
Viral Pneumonia-1080,Viral_Pneumonia,Viral Pneumonia-1080_warped.png
COVID-916,COVID,COVID-916_warped.png
Viral Pneumonia-536,Viral_Pneumonia,Viral Pneumonia-536_warped.png
Normal-4335,Normal,Normal-4335_warped.png
Normal-5479,Normal,Normal-5479_warped.png
Normal-1288,Normal,Normal-1288_warped.png
Normal-185,Normal,Normal-185_warped.png
Normal-159,Normal,Normal-159_warped.png
Viral Pneumonia-701,Viral_Pneumonia,Viral Pneumonia-701_warped.png
Normal-3073,Normal,Normal-3073_warped.png
Normal-1268,Normal,Normal-1268_warped.png
Normal-7008,Normal,Normal-7008_warped.png
COVID-649,COVID,COVID-649_warped.png
Normal-9754,Normal,Normal-9754_warped.png
Normal-8902,Normal,Normal-8902_warped.png
COVID-2891,COVID,COVID-2891_warped.png
Normal-7428,Normal,Normal-7428_warped.png
Normal-2193,Normal,Normal-2193_warped.png
Normal-6304,Normal,Normal-6304_warped.png
Normal-8631,Normal,Normal-8631_warped.png
Normal-5496,Normal,Normal-5496_warped.png
Normal-3259,Normal,Normal-3259_warped.png
Viral Pneumonia-887,Viral_Pneumonia,Viral Pneumonia-887_warped.png
COVID-2293,COVID,COVID-2293_warped.png
Normal-6850,Normal,Normal-6850_warped.png
Viral Pneumonia-122,Viral_Pneumonia,Viral Pneumonia-122_warped.png
Normal-7291,Normal,Normal-7291_warped.png
COVID-298,COVID,COVID-298_warped.png
Normal-8419,Normal,Normal-8419_warped.png
Normal-6396,Normal,Normal-6396_warped.png
Normal-4607,Normal,Normal-4607_warped.png
COVID-2251,COVID,COVID-2251_warped.png
Normal-8006,Normal,Normal-8006_warped.png
Normal-10154,Normal,Normal-10154_warped.png
Viral Pneumonia-1223,Viral_Pneumonia,Viral Pneumonia-1223_warped.png
Normal-2725,Normal,Normal-2725_warped.png
COVID-1843,COVID,COVID-1843_warped.png
Normal-6496,Normal,Normal-6496_warped.png
Viral Pneumonia-491,Viral_Pneumonia,Viral Pneumonia-491_warped.png
Normal-10140,Normal,Normal-10140_warped.png
Normal-3649,Normal,Normal-3649_warped.png
Normal-10069,Normal,Normal-10069_warped.png
Normal-3054,Normal,Normal-3054_warped.png
COVID-2220,COVID,COVID-2220_warped.png
Normal-5598,Normal,Normal-5598_warped.png
COVID-3368,COVID,COVID-3368_warped.png
Normal-1979,Normal,Normal-1979_warped.png
Normal-8666,Normal,Normal-8666_warped.png
Normal-1803,Normal,Normal-1803_warped.png
Normal-3678,Normal,Normal-3678_warped.png
Normal-1907,Normal,Normal-1907_warped.png
COVID-3091,COVID,COVID-3091_warped.png
Normal-2656,Normal,Normal-2656_warped.png
Normal-7470,Normal,Normal-7470_warped.png
Normal-5972,Normal,Normal-5972_warped.png
COVID-1790,COVID,COVID-1790_warped.png
Normal-8465,Normal,Normal-8465_warped.png
Normal-5668,Normal,Normal-5668_warped.png
Normal-9239,Normal,Normal-9239_warped.png
Viral Pneumonia-1237,Viral_Pneumonia,Viral Pneumonia-1237_warped.png
Normal-5045,Normal,Normal-5045_warped.png
Normal-10130,Normal,Normal-10130_warped.png
COVID-272,COVID,COVID-272_warped.png
COVID-3090,COVID,COVID-3090_warped.png
COVID-1627,COVID,COVID-1627_warped.png
COVID-2662,COVID,COVID-2662_warped.png
Viral Pneumonia-1009,Viral_Pneumonia,Viral Pneumonia-1009_warped.png
COVID-914,COVID,COVID-914_warped.png
Normal-7114,Normal,Normal-7114_warped.png
Normal-789,Normal,Normal-789_warped.png
Normal-4639,Normal,Normal-4639_warped.png
Normal-4941,Normal,Normal-4941_warped.png
Normal-4750,Normal,Normal-4750_warped.png
Normal-1131,Normal,Normal-1131_warped.png
COVID-494,COVID,COVID-494_warped.png
COVID-970,COVID,COVID-970_warped.png
Normal-4428,Normal,Normal-4428_warped.png
COVID-505,COVID,COVID-505_warped.png
Viral Pneumonia-188,Viral_Pneumonia,Viral Pneumonia-188_warped.png
COVID-1323,COVID,COVID-1323_warped.png
COVID-1685,COVID,COVID-1685_warped.png
Normal-5604,Normal,Normal-5604_warped.png
COVID-539,COVID,COVID-539_warped.png
COVID-725,COVID,COVID-725_warped.png
Normal-6286,Normal,Normal-6286_warped.png
Normal-7373,Normal,Normal-7373_warped.png
COVID-1779,COVID,COVID-1779_warped.png
COVID-1192,COVID,COVID-1192_warped.png
Normal-2650,Normal,Normal-2650_warped.png
Normal-8055,Normal,Normal-8055_warped.png
Normal-8213,Normal,Normal-8213_warped.png
Normal-6613,Normal,Normal-6613_warped.png
Normal-1821,Normal,Normal-1821_warped.png
Normal-6996,Normal,Normal-6996_warped.png
Normal-2824,Normal,Normal-2824_warped.png
Viral Pneumonia-905,Viral_Pneumonia,Viral Pneumonia-905_warped.png
Viral Pneumonia-63,Viral_Pneumonia,Viral Pneumonia-63_warped.png
Normal-2234,Normal,Normal-2234_warped.png
COVID-3117,COVID,COVID-3117_warped.png
Normal-9720,Normal,Normal-9720_warped.png
Normal-5038,Normal,Normal-5038_warped.png
Normal-4843,Normal,Normal-4843_warped.png
Normal-6161,Normal,Normal-6161_warped.png
Normal-8516,Normal,Normal-8516_warped.png
Normal-9864,Normal,Normal-9864_warped.png
Normal-248,Normal,Normal-248_warped.png
Normal-5156,Normal,Normal-5156_warped.png
Normal-3864,Normal,Normal-3864_warped.png
Viral Pneumonia-1144,Viral_Pneumonia,Viral Pneumonia-1144_warped.png
Normal-4706,Normal,Normal-4706_warped.png
COVID-2933,COVID,COVID-2933_warped.png
Normal-9424,Normal,Normal-9424_warped.png
Normal-2612,Normal,Normal-2612_warped.png
Normal-7199,Normal,Normal-7199_warped.png
Normal-8820,Normal,Normal-8820_warped.png
Normal-1611,Normal,Normal-1611_warped.png
Normal-5454,Normal,Normal-5454_warped.png
Normal-4460,Normal,Normal-4460_warped.png
COVID-3488,COVID,COVID-3488_warped.png
Normal-7024,Normal,Normal-7024_warped.png
Normal-9612,Normal,Normal-9612_warped.png
Normal-6004,Normal,Normal-6004_warped.png
Normal-7589,Normal,Normal-7589_warped.png
Viral Pneumonia-747,Viral_Pneumonia,Viral Pneumonia-747_warped.png
Normal-8752,Normal,Normal-8752_warped.png
Normal-8204,Normal,Normal-8204_warped.png
Viral Pneumonia-580,Viral_Pneumonia,Viral Pneumonia-580_warped.png
Normal-5847,Normal,Normal-5847_warped.png
Normal-4191,Normal,Normal-4191_warped.png
Normal-6882,Normal,Normal-6882_warped.png
Viral Pneumonia-551,Viral_Pneumonia,Viral Pneumonia-551_warped.png
Normal-486,Normal,Normal-486_warped.png
COVID-1332,COVID,COVID-1332_warped.png
COVID-132,COVID,COVID-132_warped.png
COVID-1592,COVID,COVID-1592_warped.png
COVID-3365,COVID,COVID-3365_warped.png
COVID-271,COVID,COVID-271_warped.png
Normal-8330,Normal,Normal-8330_warped.png
Normal-4752,Normal,Normal-4752_warped.png
Normal-7791,Normal,Normal-7791_warped.png
Normal-246,Normal,Normal-246_warped.png
Normal-8255,Normal,Normal-8255_warped.png
Viral Pneumonia-371,Viral_Pneumonia,Viral Pneumonia-371_warped.png
Normal-1420,Normal,Normal-1420_warped.png
Normal-7715,Normal,Normal-7715_warped.png
COVID-1016,COVID,COVID-1016_warped.png
Normal-6474,Normal,Normal-6474_warped.png
Normal-208,Normal,Normal-208_warped.png
COVID-3178,COVID,COVID-3178_warped.png
Normal-9663,Normal,Normal-9663_warped.png
COVID-1962,COVID,COVID-1962_warped.png
Normal-9482,Normal,Normal-9482_warped.png
Normal-5305,Normal,Normal-5305_warped.png
Normal-2036,Normal,Normal-2036_warped.png
Normal-7234,Normal,Normal-7234_warped.png
Normal-9895,Normal,Normal-9895_warped.png
Normal-4288,Normal,Normal-4288_warped.png
COVID-208,COVID,COVID-208_warped.png
Normal-5176,Normal,Normal-5176_warped.png
Normal-9868,Normal,Normal-9868_warped.png
Normal-9846,Normal,Normal-9846_warped.png
Normal-5394,Normal,Normal-5394_warped.png
Normal-5515,Normal,Normal-5515_warped.png
Viral Pneumonia-518,Viral_Pneumonia,Viral Pneumonia-518_warped.png
COVID-1505,COVID,COVID-1505_warped.png
Normal-4107,Normal,Normal-4107_warped.png
Normal-6956,Normal,Normal-6956_warped.png
COVID-763,COVID,COVID-763_warped.png
COVID-2767,COVID,COVID-2767_warped.png
Normal-6250,Normal,Normal-6250_warped.png
COVID-317,COVID,COVID-317_warped.png
Normal-2762,Normal,Normal-2762_warped.png
Normal-2475,Normal,Normal-2475_warped.png
Normal-2775,Normal,Normal-2775_warped.png
Normal-9737,Normal,Normal-9737_warped.png
Normal-8937,Normal,Normal-8937_warped.png
Normal-8604,Normal,Normal-8604_warped.png
COVID-3414,COVID,COVID-3414_warped.png
